"키","분류1","분류2","분류3","검색어","명칭","행정 시","행정 구","행정 동"
"BE_IW16-0340","한식/중식/일식","전통음식","한식 일반","민가다헌","민가다헌","서울특별시","종로구","종로1.2.3.4가동"
"BE_IW16-0341","한식/중식/일식","전통음식","한식 일반","민들레","민들레","서울특별시","마포구","서교동"
"BE_IW16-0342","한식/중식/일식","전통음식","한식 일반","민들레","민들레","서울특별시","강남구","역삼1동"
"BE_IW16-0343","한식/중식/일식","전통음식","한식 일반","민속두부마을","민속두부마을","서울특별시","강북구","번2동"
"BE_IW16-0344","한식/중식/일식","전통음식","한식 일반","민속식당","민속식당","서울특별시","서대문구","연희동"
"BE_IW16-0345","한식/중식/일식","전통음식","한식 일반","민속식당","민속식당","서울특별시","서대문구","연희동"
"BE_IW16-0346","한식/중식/일식","전통음식","한식 일반","민속집","민속집","서울특별시","종로구","혜화동"
"BE_IW16-0347","한식/중식/일식","전통음식","한식 일반","바달비","바달비","서울특별시","관악구","신림동"
"BE_IW16-0348","한식/중식/일식","전통음식","한식 일반","바우식당","바우식당","서울특별시","도봉구","방학1동"
"BE_IW16-0349","한식/중식/일식","전통음식","한식 일반","박대감네/청담본점","박대감네청담본점","서울특별시","강남구","청담동"
"BE_IW16-0350","한식/중식/일식","전통음식","한식 일반","박서방순대국","박서방순대국","서울특별시","강남구","삼성1동"
"BE_IW16-0351","한식/중식/일식","전통음식","한식 일반","박석고개","박석고개","서울특별시","종로구","혜화동"
"BE_IW16-0352","한식/중식/일식","전통음식","한식 일반","반룡산","반룡산","서울특별시","강남구","대치4동"
"BE_IW16-0353","한식/중식/일식","전통음식","한식 일반","방아골","방아골","서울특별시","도봉구","방학1동"
"BE_IW16-0354","한식/중식/일식","전통음식","한식 일반","백송","백송","서울특별시","종로구","청운효자동"
"BE_IW16-0355","한식/중식/일식","전통음식","한식 일반","백암순대","백암순대","서울특별시","중구","회현동"
"BE_IW16-0356","한식/중식/일식","전통음식","한식 일반","백암왕순대","백암왕순대","서울특별시","은평구","갈현2동"
"BE_IW16-0357","한식/중식/일식","전통음식","한식 일반","백암왕순대","백암왕순대","서울특별시","서초구","서초1동"
"BE_IW16-0358","한식/중식/일식","전통음식","한식 일반","백운산장","백운산장","서울특별시","강북구","우이동"
"BE_IW16-0359","한식/중식/일식","전통음식","한식 일반","백운산장","백운산장","서울특별시","강북구","우이동"
"BE_IW16-0360","한식/중식/일식","전통음식","한식 일반","백합","백합","서울특별시","구로구","고척1동"
"BE_IW16-0361","한식/중식/일식","전통음식","한식 일반","뱀부하우스","뱀부하우스","서울특별시","강남구","역삼1동"
"BE_IW16-0362","한식/중식/일식","전통음식","한식 일반","뱃고동","뱃고동","서울특별시","강남구","역삼1동"
"BE_IW16-0363","한식/중식/일식","전통음식","한식 일반","버드나무집","버드나무집","서울특별시","강동구","강일동"
"BE_IW16-0364","한식/중식/일식","전통음식","한식 일반","버드나무집","버드나무집","서울특별시","송파구","오금동"
"BE_IW16-0365","한식/중식/일식","전통음식","한식 일반","버드나무집","버드나무집","서울특별시","강남구","역삼1동"
"BE_IW16-0366","한식/중식/일식","전통음식","한식 일반","버드나무집","버드나무집","서울특별시","마포구","아현동"
"BE_IW16-0083","한식/중식/일식","전통음식","한식 일반","고향식당","고향식당","서울특별시","구로구","개봉1동"
"BE_IW16-0084","한식/중식/일식","전통음식","한식 일반","고향식당","고향식당","서울특별시","강남구","논현2동"
"BE_IW16-0085","한식/중식/일식","전통음식","한식 일반","고향쌈밥","고향쌈밥","서울특별시","구로구","개봉1동"
"BE_IW16-0086","한식/중식/일식","전통음식","한식 일반","고향집","고향집","서울특별시","광진구","구의1동"
"BE_IW16-0087","한식/중식/일식","전통음식","한식 일반","고향집","고향집","서울특별시","강남구","논현2동"
"BE_IW16-0088","한식/중식/일식","전통음식","한식 일반","고향집","고향집","서울특별시","성북구","보문동"
"BE_IW16-0089","한식/중식/일식","전통음식","한식 일반","고향집","고향집","서울특별시","관악구","중앙동"
"BE_IW16-0090","한식/중식/일식","전통음식","한식 일반","고향집","고향집","서울특별시","서초구","서초1동"
"BE_IW16-0091","한식/중식/일식","전통음식","한식 일반","고흥식당","고흥식당","서울특별시","강서구","화곡1동"
"BE_IW16-0092","한식/중식/일식","전통음식","한식 일반","골방집","골방집","서울특별시","강북구","번1동"
"BE_IW16-0093","한식/중식/일식","전통음식","한식 일반","곰국시집","곰국시집","서울특별시","중구","명동"
"BE_IW16-0094","한식/중식/일식","전통음식","한식 일반","곰국시집","곰국시집","서울특별시","중구","명동"
"BE_IW16-0095","한식/중식/일식","전통음식","한식 일반","곰마루","곰마루","서울특별시","종로구","교남동"
